Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
"KFC Smoky Chicken
Biryani",509.5,64,22.4,18.4
KFC Veg Zinger Burger,623,83.4,14.5,25.7
"KFC Chicken
Zinger Burger",563.1,57.1,26.6,26.6
KFC Spicy Zinger,433.2,46.2,26.6,15.6
KFC Classic Veg Crisper,342.2,54.6,8.9,27.6
KFC Spicy Veg Crisper,367.5,59,9.2,18.9
KFC Classic Non Veg Crisper,450.6,52.2,18.7,18.6
KFC Spicy Non Veg Crisper,393.7,56.8,20.7,9.3
KFC Tandoori Zinger Burger,999.9,68.5,27.4,32.3
"KFC Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9,62.8,54,29.5
KFC 2 Classic veg Crispers,684.4,54.6,17.7,27.6
KFC 2 Classic Chicken Crisper,787.4,56.8,41.3,9.3
KFC Double Down burger,588.7,33.8,37.6,33.7
KFC 1 pc,264.7,12.9,15.9,16.6
KFC 2 pc,529.4,25.8,31.9,33.2
KFC 4 pc,1058.8,25.8,63.7,33.2
KFC 6 Pc,1588.2,38.8,95.6,49.8
KFC 8 pc Bucket,2117.5,34.5,127.4,44.2
KFC 5 Pc Fried Leg,1440,42.6,89.3,41.3
KFC 10 Pc Fried Leg,2880,85.1,178.6,82.6
KFC 1 pc,174.9,8,21.3,6.4
KFC 2 pc,349.7,16.1,42.6,12.8
KFC 4 pc,699.4,32.1,85.3,25.5
KFC 5 PC,874.3,20.1,106.6,16
KFC 6 Pc,1049.1,24.1,127.9,19.2
KFC 8 pc Bucket,1398.8,21.4,170.5,17
"KFC Chick & Share Bucket: Xtra
Large Popcorn",1156,38.2,63.6,33.1
"KFC Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5,32.3,79.6,41.5
KFC Chick & Share Bucket: 10 pc Strips,1195.4,34.5,90.1,31.1
"KFC Dips Bucket (12 Pc + 4
Dips)",1434.5,27.6,108.1,24.9
KFC Mingles Bucket,1269.4,46.8,62.3,35.9
"KFC Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",1022.6,24.4,34.9,21.9
KFC Big Eight ( 4pc smoky+ 4pc HC),1758.2,27.9,149,30.6
"KFC Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4,41.1,124.8,42.2
"KFC 12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5,27.6,108.1,24.9
"KFC 10 for 550
(10 pc HC)
on Wednesdays",2382.2,38.8,143.3,49.8
